Date,Temp
1/1/1993,6.3
2/1/1993,5
3/1/1993,6.3
4/1/1993,9.2
5/1/1993,10.8
6/1/1993,14.2
7/1/1993,14.6
8/1/1993,14.1
9/1/1993,12.1
10/1/1993,7.9
11/1/1993,5.3
12/1/1993,5.9
1/1/1994,5.5
2/1/1994,4
3/1/1994,7.4
4/1/1994,7.5
5/1/1994,10.3
6/1/1994,13.4
7/1/1994,16.4
8/1/1994,15.2
9/1/1994,12.4
10/1/1994,10.3
11/1/1994,10.2
12/1/1994,7
1/1/1995,5.5
2/1/1995,6.7
3/1/1995,5.5
4/1/1995,8.4
5/1/1995,10.9
6/1/1995,13.9
7/1/1995,17.4
8/1/1995,18.7
9/1/1995,13.2
10/1/1995,12.9
11/1/1995,7.8
12/1/1995,3.1
1/1/1996,4.9
2/1/1996,3
3/1/1996,4.8
4/1/1996,7.9
5/1/1996,8.6
6/1/1996,13.4
7/1/1996,15.6
8/1/1996,15.4
9/1/1996,13.2
10/1/1996,11.4
11/1/1996,6.3
12/1/1996,3.1
1/1/1997,2.5
2/1/1997,6.4
3/1/1997,7.8
4/1/1997,8.8
5/1/1997,11.2
6/1/1997,13.4
7/1/1997,15.6
8/1/1997,17.7
9/1/1997,13.8
10/1/1997,10.8
11/1/1997,8.8
12/1/1997,6.2
1/1/1998,5.3
2/1/1998,6.9
3/1/1998,7.8
4/1/1998,7.4
5/1/1998,12.8
6/1/1998,13.6
7/1/1998,14.7
8/1/1998,15.2
9/1/1998,14.3
10/1/1998,10.6
11/1/1998,6.8
12/1/1998,5.9
1/1/1999,5.9
2/1/1999,5.5
3/1/1999,7
4/1/1999,9
5/1/1999,12.4
6/1/1999,13.1
7/1/1999,16.7
8/1/1999,15.9
9/1/1999,14.7
10/1/1999,10.5
11/1/1999,7.7
12/1/1999,5.5
1/1/2000,4.8
2/1/2000,6.3
3/1/2000,7.1
4/1/2000,7.3
5/1/2000,11.6
6/1/2000,14.1
7/1/2000,15.2
8/1/2000,15.9
9/1/2000,14.3
10/1/2000,10.1
11/1/2000,7
12/1/2000,6.1
1/1/2001,4
2/1/2001,4.9
3/1/2001,5.5
4/1/2001,7.5
5/1/2001,11.9
6/1/2001,13.7
7/1/2001,15.8
8/1/2001,16
9/1/2001,13.4
10/1/2001,12.9
11/1/2001,7.6
12/1/2001,4.1
1/1/2002,6.2
2/1/2002,6.9
3/1/2002,7.5
4/1/2002,8.7
5/1/2002,11.1
6/1/2002,13.1
7/1/2002,14.9
8/1/2002,15.8
9/1/2002,13.8
10/1/2002,10.4
11/1/2002,9.2
12/1/2002,6
1/1/2003,4.5
2/1/2003,4.4
3/1/2003,7.7
4/1/2003,9.5
5/1/2003,11.1
6/1/2003,14.8
7/1/2003,16.4
8/1/2003,17.6
9/1/2003,13.9
10/1/2003,9.1
11/1/2003,8.3
12/1/2003,5.6
1/1/2004,5.6
2/1/2004,5.1
3/1/2004,6.3
4/1/2004,8.9
5/1/2004,11.7
6/1/2004,14.8
7/1/2004,15
8/1/2004,16.5
9/1/2004,14.5
10/1/2004,10.3
11/1/2004,8.1
12/1/2004,6.1
1/1/2005,6.3
2/1/2005,4.2
3/1/2005,7
4/1/2005,8.7
5/1/2005,10.8
6/1/2005,14.9
7/1/2005,16.3
8/1/2005,15.5
9/1/2005,14.7
10/1/2005,12.7
11/1/2005,6.5
12/1/2005,5
1/1/2006,4.4
2/1/2006,3.5
3/1/2006,5.2
4/1/2006,8.5
5/1/2006,11.5
6/1/2006,15.2
7/1/2006,18.4
8/1/2006,15.9
9/1/2006,16
10/1/2006,12.7
11/1/2006,8.2
12/1/2006,6.7
1/1/2007,7
2/1/2007,6.4
3/1/2007,7.1
4/1/2007,11.2
5/1/2007,11.8
6/1/2007,14.7
7/1/2007,14.6
8/1/2007,15.1
9/1/2007,13.7
10/1/2007,11
11/1/2007,7.8
12/1/2007,5.7
1/1/2008,6.7
2/1/2008,5.8
