Date1,Temp1,,,,,,,,,,,,,,
1/1/1993,2.8,,,,,,,,,,,,,,
2/1/1993,4.6,,,,,,,,,,,,,,
3/1/1993,4.3,,,,,,,,,,,,,,
4/1/1993,6.3,,,,,,,,,,,,,,
5/1/1993,7.8,,,,,,,,,,,,,,
6/1/1993,10.8,,,,,,,,,,,,,,
7/1/1993,11,,,,,,,,,,,,,,
8/1/1993,10.9,,,,,,,,,,,,,,
9/1/1993,9.5,,,,,,,,,,,,,,
10/1/1993,5.8,,,,,,,,,,,,,,
11/1/1993,3.5,,,,,,,,,,,,,,
12/1/1993,1.3,,,,,,,,,,,,,,
1/1/1994,2.2,,,,,,,,,,,,,,
2/1/1994,1.4,,,,,,,,,,,,,,
3/1/1994,3.1,,,,,,,,,,,,,,
4/1/1994,5,,,,,,,,,,,,,,
5/1/1994,7.5,,,,,,,,,,,,,,
6/1/1994,10.3,,,,,,,,,,,,,,
7/1/1994,13.5,,,,,,,,,,,,,,
8/1/1994,11.9,,,,,,,,,,,,,,
9/1/1994,9.6,,,,,,,,,,,,,,
10/1/1994,7.1,,,,,,,,,,,,,,
11/1/1994,7.2,,,,,,,,,,,,,,
12/1/1994,3.6,,,,,,,,,,,,,,
1/1/1995,1.9,,,,,,,,,,,,,,
2/1/1995,2.3,,,,,,,,,,,,,,
3/1/1995,2.2,,,,,,,,,,,,,,
4/1/1995,5.3,,,,,,,,,,,,,,
5/1/1995,8,,,,,,,,,,,,,,
6/1/1995,10.9,,,,,,,,,,,,,,
7/1/1995,13.8,,,,,,,,,,,,,,
8/1/1995,14.6,,,,,,,,,,,,,,
9/1/1995,10.5,,,,,,,,,,,,,,
10/1/1995,9.3,,,,,,,,,,,,,,
11/1/1995,5.6,,,,,,,,,,,,,,
12/1/1995,0.2,,,,,,,,,,,,,,
1/1/1996,3.7,,,,,,,,,,,,,,
2/1/1996,1.1,,,,,,,,,,,,,,
3/1/1996,3.1,,,,,,,,,,,,,,
4/1/1996,6.5,,,,,,,,,,,,,,
5/1/1996,6.4,,,,,,,,,,,,,,
6/1/1996,10.8,,,,,,,,,,,,,,
7/1/1996,12,,,,,,,,,,,,,,
8/1/1996,13.2,,,,,,,,,,,,,,
9/1/1996,11.2,,,,,,,,,,,,,,
10/1/1996,8.7,,,,,,,,,,,,,,
11/1/1996,2.8,,,,,,,,,,,,,,
12/1/1996,1.5,,,,,,,,,,,,,,
1/1/1997,2.1,,,,,,,,,,,,,,
2/1/1997,3.3,,,,,,,,,,,,,,
3/1/1997,5.6,,,,,,,,,,,,,,
4/1/1997,6.3,,,,,,,,,,,,,,
5/1/1997,7.9,,,,,,,,,,,,,,
6/1/1997,10.5,,,,,,,,,,,,,,
7/1/1997,13.6,,,,,,,,,,,,,,
8/1/1997,14.9,,,,,,,,,,,,,,
9/1/1997,10.5,,,,,,,,,,,,,,
10/1/1997,7.6,,,,,,,,,,,,,,
11/1/1997,6.8,,,,,,,,,,,,,,
12/1/1997,4.1,,,,,,,,,,,,,,
1/1/1998,3.1,,,,,,,,,,,,,,
2/1/1998,6.1,,,,,,,,,,,,,,
3/1/1998,4.3,,,,,,,,,,,,,,
4/1/1998,4.7,,,,,,,,,,,,,,
5/1/1998,9.1,,,,,,,,,,,,,,
6/1/1998,9.9,,,,,,,,,,,,,,
7/1/1998,11.7,,,,,,,,,,,,,,
8/1/1998,12.1,,,,,,,,,,,,,,
9/1/1998,11.5,,,,,,,,,,,,,,
10/1/1998,6.5,,,,,,,,,,,,,,
11/1/1998,4.2,,,,,,,,,,,,,,
12/1/1998,4.1,,,,,,,,,,,,,,
1/1/1999,2.9,,,,,,,,,,,,,,
2/1/1999,2.4,,,,,,,,,,,,,,
3/1/1999,4.4,,,,,,,,,,,,,,
4/1/1999,6.7,,,,,,,,,,,,,,
5/1/1999,9,,,,,,,,,,,,,,
6/1/1999,10.2,,,,,,,,,,,,,,
7/1/1999,13.2,,,,,,,,,,,,,,
8/1/1999,12.5,,,,,,,,,,,,,,
9/1/1999,11.9,,,,,,,,,,,,,,
10/1/1999,8.4,,,,,,,,,,,,,,
11/1/1999,5.6,,,,,,,,,,,,,,
12/1/1999,1.7,,,,,,,,,,,,,,
1/1/2000,3.9,,,,,,,,,,,,,,
2/1/2000,3.3,,,,,,,,,,,,,,
3/1/2000,5,,,,,,,,,,,,,,
4/1/2000,5,,,,,,,,,,,,,,
5/1/2000,9,,,,,,,,,,,,,,
6/1/2000,10.2,,,,,,,,,,,,,,
7/1/2000,12.1,,,,,,,,,,,,,,
8/1/2000,12.8,,,,,,,,,,,,,,
9/1/2000,11.5,,,,,,,,,,,,,,
10/1/2000,8.1,,,,,,,,,,,,,,
11/1/2000,4.2,,,,,,,,,,,,,,
12/1/2000,3,,,,,,,,,,,,,,
1/1/2001,0.9,,,,,,,,,,,,,,
2/1/2001,1.6,,,,,,,,,,,,,,
3/1/2001,2.2,,,,,,,,,,,,,,
4/1/2001,5.2,,,,,,,,,,,,,,
5/1/2001,9.7,,,,,,,,,,,,,,
6/1/2001,10.1,,,,,,,,,,,,,,
7/1/2001,12.3,,,,,,,,,,,,,,
8/1/2001,12.6,,,,,,,,,,,,,,
9/1/2001,10.2,,,,,,,,,,,,,,
10/1/2001,10.2,,,,,,,,,,,,,,
11/1/2001,5.6,,,,,,,,,,,,,,
12/1/2001,2.4,,,,,,,,,,,,,,
1/1/2002,4.3,,,,,,,,,,,,,,
2/1/2002,2.9,,,,,,,,,,,,,,
3/1/2002,4.7,,,,,,,,,,,,,,
4/1/2002,6.9,,,,,,,,,,,,,,
5/1/2002,9.2,,,,,,,,,,,,,,
6/1/2002,11.7,,,,,,,,,,,,,,
7/1/2002,12.1,,,,,,,,,,,,,,
8/1/2002,13.4,,,,,,,,,,,,,,
9/1/2002,11.5,,,,,,,,,,,,,,
10/1/2002,6.6,,,,,,,,,,,,,,
11/1/2002,6,,,,,,,,,,,,,,
12/1/2002,3.1,,,,,,,,,,,,,,
1/1/2003,2.5,,,,,,,,,,,,,,
2/1/2003,2.8,,,,,,,,,,,,,,
3/1/2003,5.6,,,,,,,,,,,,,,
4/1/2003,8.1,,,,,,,,,,,,,,
5/1/2003,8.7,,,,,,,,,,,,,,
6/1/2003,12.7,,,,,,,,,,,,,,
7/1/2003,14.5,,,,,,,,,,,,,,
8/1/2003,14,,,,,,,,,,,,,,
9/1/2003,11.1,,,,,,,,,,,,,,
10/1/2003,6.3,,,,,,,,,,,,,,
11/1/2003,6.1,,,,,,,,,,,,,,
12/1/2003,3,,,,,,,,,,,,,,
1/1/2004,3.1,,,,,,,,,,,,,,
2/1/2004,2.7,,,,,,,,,,,,,,
3/1/2004,4.6,,,,,,,,,,,,,,
4/1/2004,7.2,,,,,,,,,,,,,,
5/1/2004,9.2,,,,,,,,,,,,,,
6/1/2004,11.3,,,,,,,,,,,,,,
7/1/2004,12.4,,,,,,,,,,,,,,
8/1/2004,14,,,,,,,,,,,,,,
9/1/2004,11.2,,,,,,,,,,,,,,
10/1/2004,7.2,,,,,,,,,,,,,,
11/1/2004,5.7,,,,,,,,,,,,,,
12/1/2004,4.4,,,,,,,,,,,,,,
1/1/2005,4.2,,,,,,,,,,,,,,
2/1/2005,2.6,,,,,,,,,,,,,,
3/1/2005,5.2,,,,,,,,,,,,,,
4/1/2005,6.4,,,,,,,,,,,,,,
5/1/2005,7.6,,,,,,,,,,,,,,
6/1/2005,11.6,,,,,,,,,,,,,,
7/1/2005,12.7,,,,,,,,,,,,,,
8/1/2005,12.6,,,,,,,,,,,,,,
9/1/2005,11.4,,,,,,,,,,,,,,
10/1/2005,9.3,,,,,,,,,,,,,,
11/1/2005,4.6,,,,,,,,,,,,,,
12/1/2005,3.9,,,,,,,,,,,,,,
1/1/2006,3.4,,,,,,,,,,,,,,
2/1/2006,2.8,,,,,,,,,,,,,,
3/1/2006,2,,,,,,,,,,,,,,
4/1/2006,5.2,,,,,,,,,,,,,,
5/1/2006,8.3,,,,,,,,,,,,,,
6/1/2006,12.1,,,,,,,,,,,,,,
7/1/2006,15,,,,,,,,,,,,,,
8/1/2006,12.8,,,,,,,,,,,,,,
9/1/2006,13,,,,,,,,,,,,,,
10/1/2006,9.3,,,,,,,,,,,,,,
11/1/2006,5.8,,,,,,,,,,,,,,
12/1/2006,4.4,,,,,,,,,,,,,,
