Country,Value
China,1411100000
India,1396387127
United States,331526933
Indonesia,271857970
Pakistan,227196741
Brazil,213196304
Nigeria,208327405
Bangladesh,167420951
Russian Federation,145245148
Japan,126261000
Mexico,125998302
Ethiopia,117190911
Philippines,112190977
"Egypt, Arab Rep.",107465134
Viet Nam,96648685
"Congo, Dem. Rep.",92853164
"Iran, Islamic Rep.",87290193
Turkiye,83384680
Germany,83160871
Thailand,71475664
France,67571107
United Kingdom,67081234
Tanzania,61704518
Italy,59438851
South Africa,58801927
Myanmar,53423198
Kenya,51985780
"Korea, Rep.",51836239
Colombia,50930662
Spain,47365655
Argentina,45376763
Sudan,44440486
Uganda,44404611
Ukraine,44207754
Algeria,43451666
Iraq,42556984
Afghanistan,38972230
Canada,38028638
Poland,37899070
Morocco,36688772
Saudi Arabia,35997107
Uzbekistan,34232050
Angola,33428486
Peru,33304756
Malaysia,33199993
"Yemen, Rep.",32284046
Ghana,32180401
Mozambique,31178239
Nepal,29348627
"Venezuela, RB",28490453
Madagascar,28225177
Cote d'Ivoire,26811790
Cameroon,26491087
"Korea, Dem. People's Rep.",25867467
Australia,25649248
Niger,24333639
Sri Lanka,21919000
Burkina Faso,21522626
Mali,21224040
Syrian Arab Republic,20772595
Malawi,19377061
Chile,19300315
Romania,19265250
Zambia,18927715
Kazakhstan,18755666
Ecuador,17588595
Netherlands,17441500
Guatemala,16858333
Chad,16644701
Somalia,16537016
Senegal,16436120
Cambodia,16396860
Zimbabwe,15669666
Guinea,13205153
Rwanda,13146362
Benin,12643123
Burundi,12220227
Tunisia,12161723
Bolivia,11936162
Belgium,11538604
Haiti,11306801
Cuba,11300698
Dominican Republic,10999664
Jordan,10928721
Greece,10698599
Czechia,10697858
South Sudan,10606227
Sweden,10353442
Portugal,10297081
Honduras,10121763
Azerbaijan,10093121
Hungary,9750149
Papua New Guinea,9749640
Tajikistan,9543207
Belarus,9379952
United Arab Emirates,9287289
Israel,9215100
Austria,8916864
Switzerland,8638167
Togo,8442580
Sierra Leone,8233970
"Hong Kong SAR, China",7481000
Lao PDR,7319399
Bulgaria,6934015
Serbia,6899126
Nicaragua,6755895
Libya,6653942
Paraguay,6618695
Kyrgyz Republic,6579900
El Salvador,6292731
Turkmenistan,6250438
Denmark,5831404
"Congo, Rep.",5702174
Singapore,5685807
Lebanon,5662923
Finland,5529543
Slovak Republic,5458827
Norway,5379475
Central African Republic,5343020
Costa Rica,5123105
New Zealand,5090200
Liberia,5087584
Ireland,4985382
West Bank and Gaza,4803269
Oman,4543399
Mauritania,4498604
Kuwait,4360444
Panama,4294396
Croatia,4047680
Georgia,3722716
Eritrea,3555868
Uruguay,3429086
Bosnia and Herzegovina,3318407
Mongolia,3294335
Puerto Rico,3281557
Albania,2837849
Jamaica,2820436
Armenia,2805608
Lithuania,2794885
Qatar,2760385
Moldova,2635130
"Gambia, The",2573995
Botswana,2546402
Namibia,2489098
Gabon,2292573
Lesotho,2254100
Slovenia,2102419
Guinea-Bissau,2015828
Latvia,1900449
North Macedonia,1856124
Kosovo,1790133
Equatorial Guinea,1596049
Trinidad and Tobago,1518147
Bahrain,1477469
Estonia,1329522
Timor-Leste,1299995
Mauritius,1266014
Cyprus,1237537
Eswatini,1180655
Djibouti,1090156
Fiji,920422
Comoros,806166
Guyana,797202
Bhutan,772506
Solomon Islands,691191
"Macao SAR, China",676283
Luxembourg,630419
Montenegro,621306
Suriname,607065
Cabo Verde,582640
Malta,515332
Maldives,514438
Brunei Darussalam,441725
"Bahamas, The",406471
Belize,394921
Iceland,366463
Vanuatu,311685
French Polynesia,301920
Barbados,280693
New Caledonia,271080
Sao Tome and Principe,218641
Samoa,214929
St. Lucia,179237
Channel Islands,171113
Guam,169231
Curacao,154947
Kiribati,126463
Grenada,123663
"Micronesia, Fed. Sts.",112106
Aruba,106585
Virgin Islands (U.S.),106290
Tonga,105254
St. Vincent and the Grenadines,104632
Seychelles,98462
Antigua and Barbuda,92664
Isle of Man,84046
Andorra,77700
Dominica,71995
Cayman Islands,67311
Bermuda,63893
Greenland,56367
Faroe Islands,52415
Northern Mariana Islands,49587
St. Kitts and Nevis,47642
American Samoa,46189
Turks and Caicos Islands,44276
Marshall Islands,43413
Sint Maarten (Dutch part),40350
Liechtenstein,38756
Monaco,36922
San Marino,34007
Gibraltar,32709
St. Martin (French part),32553
British Virgin Islands,30910
Palau,17972
Nauru,12315
Tuvalu,11069
