ITL121NM,ValuePC,Symbol
North West (England),2.341,Pubs per capita
North East (England),11.444,Pubs per capita
Yorkshire and The Humber,7.479,Pubs per capita
West Midlands (England),6.947,Pubs per capita
East Midlands (England),5.72,Pubs per capita
South West (England),8.628,Pubs per capita
South East (England),9.595,Pubs per capita
London,4.722,Pubs per capita
East,6.041,Pubs per capita
Scotland,7.193,Pubs per capita
Wales,9.057,Pubs per capita
Northern Ireland,4.634,Pubs per capita
