properties.ITL121NM,Value,Symbol
North West (England),6263,Pubs
North East (England),3103,Pubs
Yorks & the Humber,4184,Pubs
West Midlands (England),4228,Pubs
East Midlands (England),2855,Pubs
South West (England),5014,Pubs
South East (England),6207,Pubs
London,4224,Pubs
East,3908,Pubs
Scotland,3949,Pubs
Wales,2866,Pubs
Northern Island,890,Pubs
North West (England),2.341,Pubs per capita
North East (England),11.444,Pubs per capita
Yorks & the Humber,7.479,Pubs per capita
West Midlands (England),6.947,Pubs per capita
East Midlands (England),5.72,Pubs per capita
South West (England),8.628,Pubs per capita
South East (England),9.595,Pubs per capita
London,4.722,Pubs per capita
East,6.041,Pubs per capita
Scotland,7.193,Pubs per capita
Wales,9.057,Pubs per capita
Northern Island,4.634,Pubs per capita
