Year,Drug,,Value,,,,,,,,,,,,,,,,,,,
2010,Any cocaine,A,801,,,,,,,,,,,,,,,,,,,
2010,Powder cocaine,A,781,,,,,,,,,,,,,,,,,,,
2010,Crack cocaine,A,64,,,,,,,,,,,,,,,,,,,
2010,Ecstasy,A,500,,,,,,,,,,,,,,,,,,,
2010,Hallucinogens,A,159,,,,,,,,,,,,,,,,,,,
2010,LSD,A,58,,,,,,,,,,,,,,,,,,,
2010,Magic mushrooms,A,131,,,,,,,,,,,,,,,,,,,
2010,Opiates,A,50,,,,,,,,,,,,,,,,,,,
2010,Heroin,A,34,,,,,,,,,,,,,,,,,,,
2010,Methadone,A,33,,,,,,,,,,,,,,,,,,,
2010,Amphetamines,B,300,,,,,,,,,,,,,,,,,,,
2010,Methamphetamine,A,17,,,,,,,,,,,,,,,,,,,
2010,Cannabis,B,"2,131",,,,,,,,,,,,,,,,,,,
2010,Ketamine,B,156,,,,,,,,,,,,,,,,,,,
2010,Mephedrone ,B,432,,,,,,,,,,,,,,,,,,,
2010,Tranquillisers,B,146,,,,,,,,,,,,,,,,,,,
2010,Anabolic steroids,C,49,,,,,,,,,,,,,,,,,,,
2011,Any cocaine,A,682,,,,,,,,,,,,,,,,,,,
2011,Powder cocaine,A,670,,,,,,,,,,,,,,,,,,,
2011,Crack cocaine,A,51,,,,,,,,,,,,,,,,,,,
2011,Ecstasy,A,434,,,,,,,,,,,,,,,,,,,
2011,Hallucinogens,A,174,,,,,,,,,,,,,,,,,,,
2011,LSD,A,68,,,,,,,,,,,,,,,,,,,
2011,Magic mushrooms,A,140,,,,,,,,,,,,,,,,,,,
2011,Opiates,A,75,,,,,,,,,,,,,,,,,,,
2011,Heroin,A,34,,,,,,,,,,,,,,,,,,,
2011,Methadone,A,58,,,,,,,,,,,,,,,,,,,
2011,Amphetamines,B,323,,,,,,,,,,,,,,,,,,,
2011,Methamphetamine,A,21,,,,,,,,,,,,,,,,,,,
2011,Cannabis,B,"2,147",,,,,,,,,,,,,,,,,,,
2011,Ketamine,B,197,,,,,,,,,,,,,,,,,,,
2011,Mephedrone ,B,430,,,,,,,,,,,,,,,,,,,
2011,Tranquillisers,B,139,,,,,,,,,,,,,,,,,,,
2011,Anabolic steroids,C,50,,,,,,,,,,,,,,,,,,,
2012,Any cocaine,A,697,,,,,,,,,,,,,,,,,,,
2012,Powder cocaine,A,685,,,,,,,,,,,,,,,,,,,
2012,Crack cocaine,A,44,,,,,,,,,,,,,,,,,,,
2012,Ecstasy,A,447,,,,,,,,,,,,,,,,,,,
2012,Hallucinogens,A,169,,,,,,,,,,,,,,,,,,,
2012,LSD,A,62,,,,,,,,,,,,,,,,,,,
2012,Magic mushrooms,A,145,,,,,,,,,,,,,,,,,,,
2012,Opiates,A,92,,,,,,,,,,,,,,,,,,,
